"filename", "language", "C++", "HTML", "Dart", "YAML", "Markdown", "JSON", "Swift", "Properties", "Groovy", "XML", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\KOFFA\lib\screens\needy_demand_screen\components\credits.dart", "Dart", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 5, 54
"c:\Users\Administrator\Desktop\KOFFA\lib\screens\needy_demand_screen\components\item_card.dart", "Dart", 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 10, 6, 127
"c:\Users\Administrator\Desktop\KOFFA\lib\screens\needy_demand_screen\needy_demand_screen.dart", "Dart", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 5, 94
"c:\Users\Administrator\Desktop\KOFFA\lib\screens\report_screen.dart", "Dart", 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 8, 121
"c:\Users\Administrator\Desktop\KOFFA\lib\widgets\bold_title.dart", "Dart", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"c:\Users\Administrator\Desktop\KOFFA\lib\widgets\bottom_buttons.dart", "Dart", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 5, 67
"c:\Users\Administrator\Desktop\KOFFA\lib\widgets\clippers.dart", "Dart", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 16, 10, 54
"c:\Users\Administrator\Desktop\KOFFA\lib\widgets\custom_appbar.dart", "Dart", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"c:\Users\Administrator\Desktop\KOFFA\lib\widgets\custom_background.dart", "Dart", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 5, 62
"c:\Users\Administrator\Desktop\KOFFA\lib\widgets\custom_icon.dart", "Dart", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 5, 80
"c:\Users\Administrator\Desktop\KOFFA\lib\widgets\requested_item.dart", "Dart", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 6, 81
"c:\Users\Administrator\Desktop\KOFFA\lib\widgets\top_header.dart", "Dart", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 5, 45
"c:\Users\Administrator\Desktop\KOFFA\lib\widgets\welcome_button.dart", "Dart", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 5, 39
"c:\Users\Administrator\Desktop\KOFFA\pubspec.yaml", "YAML", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 58, 17, 116
"c:\Users\Administrator\Desktop\KOFFA\test\widget_test.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\Administrator\Desktop\KOFFA\web\index.html", "HTML", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 18, 7, 105
